sample_id,run_id,injected_name,rank_in_query,identifier_name,is_smell_token,smell_prob,avg_flip_step,first_confident_step,mean_entropy_change,max_entropy_change
0,0,SMELL_DUMMY_TOKEN,1,file,False,0.9980894015252896,50.0,64.0,0.189199161529541,1.4074313640594482
0,0,SMELL_DUMMY_TOKEN,2,k1,False,0.9828313350602733,52.0,52.0,0.1634174262363355,2.629770904779434
0,0,SMELL_DUMMY_TOKEN,3,endIdx,False,0.1706976312799351,56.0,28.0,0.2074167602905282,4.070236623287201
0,0,SMELL_DUMMY_TOKEN,4,toExcluded,False,0.04187839770673945,55.0,28.0,0.1334145157626181,1.9005342721939087
0,0,SMELL_DUMMY_TOKEN,5,v1,False,0.03521762449490517,52.0,26.5,0.1558380579719176,1.604551613330841
1,0,SMELL_DUMMY_TOKEN,1,indexOf,False,0.9999999707312801,47.0,47.0,0.1946211520661699,4.024127244949341
1,0,SMELL_DUMMY_TOKEN,2,TrackGroup,False,0.9968140361063852,47.5,0.0,0.2520545037169205,1.686657428741455
1,0,SMELL_DUMMY_TOKEN,3,tracks,False,0.1907680260992977,15.0,15.0,0.4166805684566498,3.769992977380753
1,0,SMELL_DUMMY_TOKEN,4,Must,False,0.18577070282435917,52.0,14.0,0.4167401240422175,5.195930242538452
1,0,SMELL_DUMMY_TOKEN,5,param,False,0.02200497239544793,17.0,16.0,0.4221826546332415,3.0800386667251587
18,0,SMELL_DUMMY_TOKEN,1,mockScriptService,False,0.999999192935156,11.333333333333334,7.666666666666667,0.479265817824532,3.44212257862091
18,0,SMELL_DUMMY_TOKEN,2,org,False,0.9992025694793658,43.0,64.0,0.1902771170546368,1.4984726905822754
18,0,SMELL_DUMMY_TOKEN,3,runningStats,False,0.3067366222467418,5.0,3.0,0.8044663667678833,1.533015251159668
18,0,SMELL_DUMMY_TOKEN,4,fieldsCopy,False,0.2787351453192419,9.0,8.5,0.593246098400818,2.144512176513672
18,0,SMELL_DUMMY_TOKEN,5,runningStats,False,0.026792956299692066,5.0,2.5,0.7500209353864193,2.514594078063965
17,0,SMELL_DUMMY_TOKEN,1,v4,False,0.008785424114082455,11.0,5.5,0.6114111789925532,4.240882873535156
17,0,SMELL_DUMMY_TOKEN,2,perf2,False,0.005970172126986867,16.5,8.0,0.1622979056203004,2.7172670364379883
17,0,SMELL_DUMMY_TOKEN,3,SMELL_DUMMY_TOKEN,True,0.004690720481178839,40.4,31.0,0.3863957420286565,2.7744455337524414
17,0,SMELL_DUMMY_TOKEN,4,ShortBenchmark,False,0.004591962754835575,41.5,4.0,0.1267306531768247,2.4785345792770386
17,0,SMELL_DUMMY_TOKEN,5,SMELL_DUMMY_TOKEN,True,0.0036810015948574477,37.4,25.333333333333332,0.375372427998778,4.778786420822144
16,0,SMELL_DUMMY_TOKEN,1,as,False,1.0,53.0,64.0,0.1655152068947846,1.3906726837158203
16,0,SMELL_DUMMY_TOKEN,2,failed,False,0.8289764406456374,3.0,3.0,1.2769181927045186,2.099168300628662
16,0,SMELL_DUMMY_TOKEN,3,setup,False,0.801006295716825,4.0,3.0,1.646018534898758,2.602611303329468
16,0,SMELL_DUMMY_TOKEN,4,copyBitmap,False,0.7691558214861756,29.5,0.0,0.2045196511987912,4.692770481109619
16,0,SMELL_DUMMY_TOKEN,5,Canvas,False,0.47928569957397077,11.0,11.0,0.6061968803405762,4.843100070953369
15,0,SMELL_DUMMY_TOKEN,1,TransitiveVisibilityProvider,False,0.9448143532867513,11.5,9.0,0.6418015989272491,4.488843083381653
15,0,SMELL_DUMMY_TOKEN,2,lookupKey,False,0.19233364617163864,14.5,7.5,0.42203957253489,3.1435678005218506
15,0,SMELL_DUMMY_TOKEN,3,getProvider,False,0.034045633858667386,56.5,28.5,0.2016649826438026,3.219884157180786
15,0,SMELL_DUMMY_TOKEN,4,OutputFileConfiguredTarget,False,0.03395610637936894,55.6,30.5,0.1266225120116924,2.944777011871338
15,0,SMELL_DUMMY_TOKEN,5,InstrumentedFilesInfo,False,0.031209990390367204,17.4,16.8,0.4132672377016352,2.149482488632202
14,0,SMELL_DUMMY_TOKEN,1,formatIncompatibleTypesMessage,False,0.999999032413415,55.2,39.0,0.1723345683308576,2.2052440643310547
14,0,SMELL_DUMMY_TOKEN,2,cannot,False,0.9847723928551233,7.0,4.0,0.5553694878305707,2.658190965652466
14,0,SMELL_DUMMY_TOKEN,3,AbstractFunctionTestCase,False,0.06583435125619051,10.666666666666666,8.0,0.7347515355795622,5.526468753814697
14,0,SMELL_DUMMY_TOKEN,4,Matchers,False,0.04646317651382294,11.0,11.0,0.6105629314075817,4.617092490196228
14,0,SMELL_DUMMY_TOKEN,5,third,False,0.028978704986724873,8.0,8.0,0.7096261084079742,2.7458748817443848
13,0,SMELL_DUMMY_TOKEN,1,relativeTo,False,1.0,62.0,64.0,0.2587841991486588,1.470173716545105
13,0,SMELL_DUMMY_TOKEN,2,assertThat,False,0.99548349670005,30.0,30.0,0.34176820119222,2.6338868141174316
13,0,SMELL_DUMMY_TOKEN,3,containsUplevelReferences_startsWithUplevelReference_returnsTrue,False,0.9712180437426027,12.454545454545457,10.181818181818182,0.5856905938500035,4.699454307556152
13,0,SMELL_DUMMY_TOKEN,4,containsUplevelReferences_firstSegmentStartingWithDotDot_returnsFalse,False,0.9069447708066426,12.5,10.166666666666666,0.5877220217386881,4.745655536651611
13,0,SMELL_DUMMY_TOKEN,5,foo,False,0.8920638742565762,14.0,13.0,0.5681024683373315,3.795779824256897
