sample_id,ground_truth,is_bad_name,prediction,score
0,decodedCapacity,True,True,1.0
1,canExclude,True,True,1.0
2,expectedIndexName,True,True,1.0
3,style,False,True,0.7692307692307692
4,methodHandlesLookup,True,True,1.0
5,nPredicates,True,True,1.0
6,status,True,True,0.9230769230769231
7,mockXPackLicenseStatus,True,True,1.0
8,typeClsFullName,True,True,1.0
9,bytes,True,True,1.0
10,restoreId,False,True,0.7692307692307692
11,context,False,False,0.23076923076923073
12,cache,False,True,0.9230769230769231
13,relativePath,True,True,1.0
14,queryBuilder,False,False,0.3846153846153846
15,printer,False,False,0.15384615384615385
16,sourceBitmapConfig,True,True,1.0
17,millis,True,True,1.0
18,numShards,True,False,0.46153846153846156
19,fullSchedule,True,True,1.0
20,match,True,True,1.0
21,sectionLength,False,True,0.9166666666666666
22,status,True,False,0.3846153846153846
23,fooAbs,False,True,0.6666666666666667
24,request,True,False,0.33333333333333337
25,requestUrl,True,True,1.0
26,cmcdConfigurationFactory,True,True,0.9230769230769231
27,formatBuilder,False,True,1.0
28,desktopServicesStore,True,True,1.0
29,roles,True,True,0.8181818181818181
30,wasPanning,True,True,0.9166666666666666
31,delimiter,True,True,1.0
32,events,True,True,1.0
33,clientId,True,False,0.3076923076923077
34,integer,True,True,1.0
35,drmEventDispatcher,True,False,0.3846153846153846
36,toExcluded,True,True,1.0
37,configurations,True,True,0.8461538461538461
38,unicharsRead,True,True,1.0
39,mediaEncoding,True,True,1.0
40,status,True,True,0.5454545454545454
41,semanticVersion,False,True,1.0
42,newReceiverNodes,True,False,0.08333333333333337
43,serviceTimeEWMA,True,True,1.0
44,lexer,True,True,0.6
45,context,True,True,0.6923076923076923
46,paths,True,True,1.0
47,builder,True,False,0.41666666666666663
48,consumer,True,True,1.0
49,response,False,False,0.33333333333333337
50,parsed,True,True,1.0
51,useKeyAsProperty,True,True,1.0
52,forwardButton,False,True,1.0
53,random,True,True,1.0
54,observer,True,True,0.9230769230769231
55,valueBlock,False,True,1.0
57,serviceKey,True,True,1.0
59,currentOffset,True,True,1.0
60,updateDoc,False,True,0.8461538461538461
61,dataStream,True,True,1.0
