sample_id,ground_truth,is_bad_name,prediction,score
0,decodedCapacity,True,False,0.30521372312335865
1,canExclude,True,True,0.8267730919795009
2,expectedIndexName,True,True,0.9953025932152771
3,style,False,True,0.6996980944817749
4,methodHandlesLookup,True,True,0.9988726224311288
5,nPredicates,True,False,0.12297732557821513
6,status,True,False,0.37095622581015447
7,mockXPackLicenseStatus,True,True,0.9991856862213226
8,typeClsFullName,True,True,0.9948283349098793
9,bytes,True,True,0.6996980944817749
10,restoreId,False,True,0.904010434657122
11,context,False,True,0.6005898650516008
12,cache,False,True,0.5738984881294436
13,relativePath,True,True,0.6321092650830049
14,queryBuilder,False,True,0.9293303358698545
15,printer,False,True,0.6622429226458958
16,sourceBitmapConfig,True,True,0.9983669839897307
17,millis,True,True,0.9090647216520374
18,numShards,True,True,0.5858222806836192
19,fullSchedule,True,True,0.6255789209820787
20,match,True,True,0.7059089090458499
21,sectionLength,False,True,0.7876288211469497
22,status,True,True,0.9773926893887578
23,fooAbs,False,False,0.42414789130682007
24,request,True,True,0.6622429226458958
25,requestUrl,True,True,0.5949308798703952
26,cmcdConfigurationFactory,True,True,0.9975090523499781
27,formatBuilder,False,True,0.8675577493998938
28,desktopServicesStore,True,True,0.9985314157253015
29,roles,True,True,0.6997033095648174
30,wasPanning,True,True,0.8020586723569747
31,delimiter,True,True,0.5713037992182097
32,events,True,True,0.5939593513509912
33,clientId,True,False,0.20583967599226288
34,integer,True,True,0.5099367395443184
35,drmEventDispatcher,True,True,0.9987754683182059
36,toExcluded,True,True,0.8267730919795009
37,configurations,True,False,0.49334301202554304
38,unicharsRead,True,True,0.8147363293402569
39,mediaEncoding,True,True,0.6106465339149413
40,status,True,False,0.37095622581015447
41,semanticVersion,False,True,0.922797987205417
42,newReceiverNodes,True,True,0.9953778400862409
43,serviceTimeEWMA,True,True,0.9978585642829854
44,lexer,True,True,0.5738984881294436
45,context,True,True,0.5985945873862926
46,paths,True,True,0.6996980944817749
47,builder,True,True,0.8886562636392379
48,consumer,True,True,0.8004176123881602
49,response,False,True,0.9084693892838281
50,parsed,True,True,0.6652464086288512
51,useKeyAsProperty,True,True,0.9990138554279613
52,forwardButton,False,True,0.8236569214805873
53,random,True,True,0.9781521713469915
54,observer,True,True,0.8352778906510829
55,valueBlock,False,True,0.5249537016293774
57,serviceKey,True,True,0.7726469300738995
59,currentOffset,True,True,0.9445689466135149
60,updateDoc,False,True,0.5858222806836192
61,dataStream,True,True,0.5624995643929243
62,delegateHandler,True,True,0.6827722282878324
63,responseDuration,True,True,0.9566295107617205
64,tokenStream,False,False,0.3821812074386762
65,transformState,True,False,0.16156998633554837
66,runMode,False,False,0.27326644096634745
67,screenX,False,False,0.21874789704304304
68,yValUncast,True,True,0.999069162722816
69,stBuilder,True,True,0.6353099825882287
70,userAgent,True,True,0.5529150990221008
71,policy,True,True,0.6578010068442185
72,width,True,True,0.676977287152539
73,colors,False,True,0.6501411000352841
74,extension,False,True,0.5713037992182097
75,credentials,False,False,0.15882524243707014
76,missingKeys,False,True,0.5259658118741262
78,streamedBucket,True,False,0.37559002937232655
80,hasPostings,True,True,0.5395239489787371
81,array,True,True,0.7921176745776843
82,shape,True,True,0.6988010170679633
83,timeStamp,True,True,0.5403957486142624
84,resources,True,True,0.617037454425913
85,project,False,True,0.6630099175004724
86,depthOfRdepOfRdep,True,True,0.9953183387023735
88,boxedArray,True,True,0.8267730919795009
89,bytes,True,False,0.07705098808540566
90,jsonFile,False,False,0.4465307543564269
91,merged,True,True,0.5743803236502611
92,floatSetting,False,False,0.4408337533289773
94,model,False,True,0.8078638082304013
95,inputFrameInfo,True,False,0.0333414078470954
96,handler,True,True,0.729389903041126
97,includeIncubator,True,True,0.9431071750448712
98,threads,True,True,0.6324027327223252
99,refresh,False,True,0.5185342150146763
100,additionalParams,True,True,0.6001596118715106
101,arrayPool,True,True,0.7442990723227935
102,prevState,True,True,0.6342994466050881
103,method,False,True,0.6877818165848074
104,invocation,True,False,0.06181364614690306
105,visibility,False,True,0.9182630129119403
106,docCount,False,False,0.20069168819490882
107,entryCount,True,True,0.6265178051437991
108,scale,False,False,0.189574590773299
109,skippedShards,True,True,0.6106465339149413
110,fromUser,False,False,0.4528028943679778
111,additionalSettings,True,True,0.8310674335256212
112,bgBottomHeight,True,True,0.9278413310935456
113,bootstrapMethodIndex,True,True,0.9984104659279611
114,checksumUrlString,True,True,0.9973219860309211
115,tuple,False,True,0.7059089090458499
116,ascUrl,True,False,0.33765056014953915
117,bufferSize,True,True,0.6265178051437991
118,flushedDocs,False,True,0.5447544777959403
119,request,False,True,0.6622429226458958
120,disconnect,False,True,0.779100233963614
122,tableCat,True,True,0.7751161940381844
123,factory,True,True,0.6263803894999878
124,modulePredicate,True,False,0.1831054888931231
125,conditionLatch,True,True,0.9361792869133579
126,percentDelta,True,True,0.9061998932102274
127,target,True,True,0.8248799365405617
128,childContext,True,True,0.6388861045216603
129,hasFallback,True,True,0.5259658118741262
130,blocks,True,True,0.6578010068442185
131,clusterName,True,False,0.12297732557821513
132,incXmlOutput,True,True,0.9932876266216876
133,snapshotLifecyclePolicyMetadata,True,True,0.9976487120844099
134,reader,False,True,0.5870563707924552
135,start,False,True,0.5269948894572466
136,nodeIds,False,False,0.1546859395819518
137,digest,True,True,0.6652464086288512
138,unused,True,True,0.6501411000352841
139,skipLen,True,False,0.1440514394642253
141,constantValueAttribute,True,True,0.9973772362277178
142,isChanged,False,True,0.6497725476663144
144,unusedIterator,False,False,0.4647553518164044
145,fieldName,True,True,0.526034987664963
146,periodDurationUs,True,True,0.9981002455661224
147,usedBuiltInTokenizers,True,True,0.9975099102727784
148,pOwner,True,False,0.33765056014953915
149,button,False,True,0.5939593513509912
